n,energy
1000,34.08168180
1001,36.80209172
1002,36.21282597
1003,40.68031273
1004,37.81046053
1005,37.36642211
1006,34.70342840
1007,32.28563434
1008,25.19528588
1009,29.32098418
1010,30.87175845
1011,34.50571577
1012,35.82063255
1013,38.48617057
1014,33.68519210
1015,34.77568107
1016,32.47388321
1017,35.01243141
1018,34.44186783
1019,32.21100788
1020,24.70672796
1021,28.34233419
1022,27.98926545
1023,27.77042291
1024,25.77490353
1025,29.02874285
1026,28.71218477
1027,34.30001475
1028,33.12908928
1029,34.43882130
1030,34.06696179
1031,35.06850299
1032,31.39097187
1033,36.39153407
1034,35.16332495
1035,34.52714599
1036,33.67835642
1037,37.62372379
1038,35.45658242
1039,37.71882170
1040,34.74476544
1041,36.71718362
1042,37.21394374
1043,37.14178956
1044,31.51162884
1045,36.38286502
1046,37.03885420
1047,37.13113851
1048,33.27893733
1049,32.09141998
1050,26.74423291
1051,29.42806241
1052,27.93535650
1053,29.27883439
1054,27.28175087
1055,25.82073264
1056,21.50411561
1057,28.84900152
1058,31.15406967
1059,32.60520554
1060,31.73264937
1061,34.92579417
1062,32.49762898
1063,34.83075222
1064,31.87988456
1065,34.51389268
1066,37.16323777
1067,39.88505296
1068,35.40122272
1069,38.77051259
1070,37.34726596
1071,38.03686676
1072,38.21869988
1073,41.70136353
1074,38.17030766
1075,39.00153339
1076,33.92110151
1077,31.94587924
1078,27.25933376
1079,23.47486510
1080,17.86082033
1081,25.95397761
1082,30.58576869
1083,33.86319710
1084,32.87032022
1085,34.87615447
1086,32.06420314
1087,34.94643212
1088,31.49260250
1089,31.20186408
1090,30.06796424
1091,31.33037698
1092,28.97883343
1093,35.98236237
1094,36.56662965
1095,36.58110943
1096,34.75409758
1097,36.51713211
1098,32.09159442
1099,33.14343334
1100,30.37611248
