n,energy
100000000000000,10005398.37918280
100000000000001,10005403.35709460
100000000000002,10005404.00670877
100000000000003,10005408.82883974
100000000000004,10005406.48121891
100000000000005,10005407.84726383
100000000000006,10005408.59275106
100000000000007,10005410.43365421
100000000000008,10005407.20078122
100000000000009,10005413.95418258
100000000000010,10005417.08458064
100000000000011,10005422.24501269
100000000000012,10005426.01580666
100000000000013,10005432.22015568
100000000000014,10005431.19147889
100000000000015,10005435.04961864
100000000000016,10005433.82821112
100000000000017,10005436.18719374
100000000000018,10005435.44127823
100000000000019,10005434.21994572
100000000000020,10005429.11023764
100000000000021,10005435.53609586
100000000000022,10005436.83247098
100000000000023,10005436.07215024
100000000000024,10005431.46244728
100000000000025,10005431.17111189
100000000000026,10005427.71068218
100000000000027,10005431.19626174
100000000000028,10005428.63311202
100000000000029,10005428.45595606
100000000000030,10005426.07735942
100000000000031,10005425.01910037
100000000000032,10005420.33288666
100000000000033,10005426.26835222
100000000000034,10005427.80314921
100000000000035,10005430.52428840
100000000000036,10005431.98400842
100000000000037,10005436.18540605
100000000000038,10005432.50092933
100000000000039,10005432.81148399
100000000000040,10005428.92661597
100000000000041,10005431.68475689
100000000000042,10005434.18851463
100000000000043,10005436.25813914
100000000000044,10005432.12613455
100000000000045,10005437.98543776
100000000000046,10005439.99722439
100000000000047,10005442.64080983
100000000000048,10005442.52208279
100000000000049,10005445.23935487
100000000000050,10005442.58620848
100000000000051,10005445.95590052
100000000000052,10005443.49782198
100000000000053,10005443.48244952
100000000000054,10005440.99026690
100000000000055,10005440.26767888
100000000000056,10005437.18822118
100000000000057,10005445.03988878
100000000000058,10005446.37629992
100000000000059,10005445.73550510
100000000000060,10005442.88625543
100000000000061,10005445.46574915
100000000000062,10005444.15551144
100000000000063,10005448.58716660
100000000000064,10005447.42450464
100000000000065,10005450.66280814
100000000000066,10005452.89167267
100000000000067,10005455.17888882
100000000000068,10005451.28154194
100000000000069,10005456.48383708
100000000000070,10005457.35451815
100000000000071,10005459.59007145
100000000000072,10005459.86704319
100000000000073,10005462.35600013
100000000000074,10005457.92106791
100000000000075,10005459.05281232
100000000000076,10005455.67283075
100000000000077,10005455.89524665
100000000000078,10005452.54936194
100000000000079,10005448.44884109
100000000000080,10005441.24131512
100000000000081,10005447.80186608
100000000000082,10005452.35233559
100000000000083,10005457.50807455
100000000000084,10005459.68782120
100000000000085,10005464.85730766
100000000000086,10005464.19327838
100000000000087,10005468.12113650
100000000000088,10005465.30569530
100000000000089,10005465.96698684
100000000000090,10005466.09642505
100000000000091,10005468.08533925
100000000000092,10005464.86734356
100000000000093,10005469.08068581
100000000000094,10005465.85433173
100000000000095,10005462.82831505
100000000000096,10005460.39890567
100000000000097,10005464.55695191
100000000000098,10005464.69357311
100000000000099,10005470.85687745
100000000000100,10005472.37836720
100000000000101,10005478.41600580
100000000000102,10005481.92140131
100000000000103,10005483.72655375
100000000000104,10005479.17702743
100000000000105,10005484.77884292
100000000000106,10005486.12477876
100000000000107,10005486.97399309
100000000000108,10005483.96332279
100000000000109,10005483.78660117
100000000000110,10005479.81992831
100000000000111,10005484.44654762
100000000000112,10005485.42179141
100000000000113,10005489.33824227
100000000000114,10005489.27716761
100000000000115,10005488.34631580
100000000000116,10005482.74994518
100000000000117,10005487.23208450
100000000000118,10005485.91507554
100000000000119,10005484.05624217
100000000000120,10005481.01040874
100000000000121,10005483.36886488
100000000000122,10005480.97631836
100000000000123,10005483.38741648
100000000000124,10005479.86412261
100000000000125,10005481.11597861
100000000000126,10005482.02295572
100000000000127,10005483.41528355
100000000000128,10005478.64098366
100000000000129,10005482.86889135
100000000000130,10005483.00701563
100000000000131,10005485.27501916
100000000000132,10005486.60817904
100000000000133,10005490.95295390
100000000000134,10005488.68122716
100000000000135,10005491.98301217
100000000000136,10005490.94517927
100000000000137,10005494.09898370
100000000000138,10005494.35624651
100000000000139,10005493.80685105
100000000000140,10005488.69627234
100000000000141,10005494.60787210
100000000000142,10005495.54590611
100000000000143,10005495.39587676
100000000000144,10005492.77498474
100000000000145,10005495.49413578
100000000000146,10005495.03897898
100000000000147,10005500.36788993
100000000000148,10005497.85892428
100000000000149,10005496.20428944
100000000000150,10005491.77549048
100000000000151,10005489.15260236
100000000000152,10005483.91889575
100000000000153,10005490.08022588
100000000000154,10005491.86143557
100000000000155,10005494.15869270
100000000000156,10005494.37081596
100000000000157,10005496.95618542
100000000000158,10005492.00533620
100000000000159,10005491.88691168
100000000000160,10005488.37177411
100000000000161,10005491.80828217
100000000000162,10005494.70355395
100000000000163,10005496.52093702
100000000000164,10005491.48795383
100000000000165,10005496.00513578
100000000000166,10005496.43585094
100000000000167,10005497.36625970
100000000000168,10005495.51334794
100000000000169,10005496.74903884
100000000000170,10005493.31690556
100000000000171,10005497.01875236
100000000000172,10005496.04849312
100000000000173,10005498.19079124
100000000000174,10005497.68944800
100000000000175,10005498.07424407
100000000000176,10005495.09053480
100000000000177,10005502.61304370
100000000000178,10005504.14737092
100000000000179,10005504.91443343
100000000000180,10005504.58533292
100000000000181,10005509.88177035
100000000000182,10005510.23646846
100000000000183,10005514.40686040
100000000000184,10005511.03985651
100000000000185,10005510.93079242
100000000000186,10005509.77145056
100000000000187,10005509.39625148
100000000000188,10005503.63988363
100000000000189,10005507.29559700
100000000000190,10005506.33043634
100000000000191,10005506.18210729
100000000000192,10005503.76617059
100000000000193,10005503.79364302
100000000000194,10005497.61721821
100000000000195,10005497.92199517
100000000000196,10005494.53392745
100000000000197,10005495.35047164
100000000000198,10005492.99760231
100000000000199,10005490.06542116
100000000000200,10005483.80978782
100000000000201,10005490.47748192
100000000000202,10005493.59605909
100000000000203,10005495.39434851
100000000000204,10005492.55150379
100000000000205,10005491.97044321
100000000000206,10005486.06862028
100000000000207,10005486.22718216
100000000000208,10005481.34082112
100000000000209,10005481.12944493
100000000000210,10005480.78969273
100000000000211,10005482.19837501
100000000000212,10005478.36876953
100000000000213,10005482.44644799
100000000000214,10005479.96971356
100000000000215,10005478.38720836
100000000000216,10005477.19945793
100000000000217,10005481.19817059
100000000000218,10005478.93634863
100000000000219,10005480.49068766
100000000000220,10005476.11896453
100000000000221,10005476.35572357
100000000000222,10005475.34738987
100000000000223,10005474.49876259
100000000000224,10005469.06429482
